,Filename,Polycount,Non-Manifold Parts,Self Intersecting Parts
10,3d-vh-f-larynx-40.fbx,6944,['VH_F_cricoid_cartilage'],[]
11,3d-vh-f-larynx-80.fbx,13895,['VH_F_cricoid_cartilage'],[]
12,3d-vh-f-lung-100.fbx,293880,"['VH_F_hilum_L', 'VH_F_hilum_upper_L', 'VH_F_lingula_superior_bronchopulmonary_segment', 'VH_F_left_anterior_bronchopulmonary_segment', 'VH_F_left_apical_bronchopulmonary_segment', 'VH_F_left_posterior_bronchopulmonary_segment', 'VH_F_lingula_inferior_bronchopulmonary_segment', 'VH_F_left_superior_bronchopulmonary_segment', 'VH_F_left_posterior_basal_bronchopulmonary_segment', 'VH_F_left_anterior_basal_bronchopulmonary_segment', 'VH_F_left_lateral_basal_bronchopulmonary_segment', 'VH_F_left_medial_basal_bronchopulmonary_segment', 'VH_F_hilum_lower_L', 'VH_F_hilum_R', 'VH_F_right_medial_basal_bronchopulmonary_segment', 'VH_F_right_posterior_basal_bronchopulmonary_segment', 'VH_F_right_anterior_basal_bronchopulmonary_segment', 'VH_F_right_lateral_basal_bronchopulmonary_segment', 'VH_F_right_superior_bronchopulmonary_segment', 'VH_F_hilum_lower_R', 'VH_F_right_medial_bronchopulmonary_segment', 'VH_F_right_lateral_bronchopulmonary_segmennt', 'VH_F_hilum_middle_R', 'VH_F_right_anterior_bronchopulmonary_segm', 'VH_F_right_apical_bronchopulmonary_segment', 'VH_F_right_posterior_bronchopulmonary_segment', 'VH_F_hilum_upper_R', 'VH_F_cartilage_of_lobar_bronchus_L', 'VH_F_cartilage_of_tertiary_bronchus_L', 'VH_F_left_superior_lobar_bronchus', 'VH_F_left_inferior_lobar_bronchus', 'VH_F_left_anterior_basal_bronchus', 'VH_F_left_lingula_superior_bronchus', 'VH_F_left_apical_bronchus', 'VH_F_left_posterior_basal_bronchus', 'VH_F_left_medial_basal_bronchus', 'VH_F_left_superior_bronchus', 'VH_F_left_anterior_bronchus', 'VH_F_left_posterior_bronchus', 'VH_F_left_lateral_basal_bronchus', 'VH_F_left_lingula_inferior_bronchi', 'VH_F_cartilage_of_lobar_bronchus_R', 'VH_F_cartilage_of_tertiary_bronchus_R', 'VH_F_right_middle_lobar_bronchus', 'VH_F_right_superior_lobar_bronchus', 'VH_F_right_inferior_lobar_bronchus', 'VH_F_right_anterior_bronchus', 'VH_F_right_lateral_basal_bronchus', 'VH_F_right_lateral_bronchus', 'VH_F_right_medial_bronchus', 'VH_F_right_medial_basal_bronchus', 'VH_F_right_posterior_basal_bronchus', 'VH_F_right_posterior_bronchus', 'VH_F_right_superior_bronchus', 'VH_F_right_apical_bronchus', 'VH_F_right_anterior_basal_bronchus']","['VH_F_hilum_L', 'VH_F_hilum_R', 'VH_F_right_anterior_bronchopulmonary_segm', 'VH_F_cartilage_of_lobar_bronchus_L', 'VH_F_cartilage_of_tertiary_bronchus_L', 'VH_F_left_anterior_basal_bronchus', 'VH_F_cartilage_of_lobar_bronchus_R', 'VH_F_cartilage_of_tertiary_bronchus_R']"
13,3d-vh-f-lung-20.fbx,58579,"['VH_F_hilum_L', 'VH_F_hilum_upper_L', 'VH_F_lingula_superior_bronchopulmonary_segment', 'VH_F_left_anterior_bronchopulmonary_segment', 'VH_F_left_apical_bronchopulmonary_segment', 'VH_F_left_posterior_bronchopulmonary_segment', 'VH_F_lingula_inferior_bronchopulmonary_segment', 'VH_F_left_superior_bronchopulmonary_segment', 'VH_F_left_posterior_basal_bronchopulmonary_segment', 'VH_F_left_anterior_basal_bronchopulmonary_segment', 'VH_F_left_lateral_basal_bronchopulmonary_segment', 'VH_F_left_medial_basal_bronchopulmonary_segment', 'VH_F_hilum_lower_L', 'VH_F_hilum_R', 'VH_F_right_medial_basal_bronchopulmonary_segment', 'VH_F_right_posterior_basal_bronchopulmonary_segment', 'VH_F_right_anterior_basal_bronchopulmonary_segment', 'VH_F_right_lateral_basal_bronchopulmonary_segment', 'VH_F_right_superior_bronchopulmonary_segment', 'VH_F_hilum_lower_R', 'VH_F_right_medial_bronchopulmonary_segment', 'VH_F_right_lateral_bronchopulmonary_segmennt', 'VH_F_hilum_middle_R', 'VH_F_right_anterior_bronchopulmonary_segm', 'VH_F_right_apical_bronchopulmonary_segment', 'VH_F_right_posterior_bronchopulmonary_segment', 'VH_F_hilum_upper_R', 'VH_F_cartilage_of_lobar_bronchus_L', 'VH_F_cartilage_of_tertiary_bronchus_L', 'VH_F_left_superior_lobar_bronchus', 'VH_F_left_inferior_lobar_bronchus', 'VH_F_left_anterior_basal_bronchus', 'VH_F_left_lingula_superior_bronchus', 'VH_F_left_apical_bronchus', 'VH_F_left_posterior_basal_bronchus', 'VH_F_left_medial_basal_bronchus', 'VH_F_left_superior_bronchus', 'VH_F_left_anterior_bronchus', 'VH_F_left_posterior_bronchus', 'VH_F_left_lateral_basal_bronchus', 'VH_F_left_lingula_inferior_bronchi', 'VH_F_cartilage_of_lobar_bronchus_R', 'VH_F_cartilage_of_tertiary_bronchus_R', 'VH_F_right_middle_lobar_bronchus', 'VH_F_right_superior_lobar_bronchus', 'VH_F_right_inferior_lobar_bronchus', 'VH_F_right_anterior_bronchus', 'VH_F_right_lateral_basal_bronchus', 'VH_F_right_lateral_bronchus', 'VH_F_right_medial_bronchus', 'VH_F_right_medial_basal_bronchus', 'VH_F_right_posterior_basal_bronchus', 'VH_F_right_posterior_bronchus', 'VH_F_right_superior_bronchus', 'VH_F_right_apical_bronchus', 'VH_F_right_anterior_basal_bronchus']","['VH_F_hilum_L', 'VH_F_hilum_R', 'VH_F_cartilage_of_tertiary_bronchus_L', 'VH_F_cartilage_of_lobar_bronchus_R', 'VH_F_cartilage_of_tertiary_bronchus_R']"
14,3d-vh-f-lung-40.fbx,117271,"['VH_F_hilum_L', 'VH_F_hilum_upper_L', 'VH_F_lingula_superior_bronchopulmonary_segment', 'VH_F_left_anterior_bronchopulmonary_segment', 'VH_F_left_apical_bronchopulmonary_segment', 'VH_F_left_posterior_bronchopulmonary_segment', 'VH_F_lingula_inferior_bronchopulmonary_segment', 'VH_F_left_superior_bronchopulmonary_segment', 'VH_F_left_posterior_basal_bronchopulmonary_segment', 'VH_F_left_anterior_basal_bronchopulmonary_segment', 'VH_F_left_lateral_basal_bronchopulmonary_segment', 'VH_F_left_medial_basal_bronchopulmonary_segment', 'VH_F_hilum_lower_L', 'VH_F_hilum_R', 'VH_F_right_medial_basal_bronchopulmonary_segment', 'VH_F_right_posterior_basal_bronchopulmonary_segment', 'VH_F_right_anterior_basal_bronchopulmonary_segment', 'VH_F_right_lateral_basal_bronchopulmonary_segment', 'VH_F_right_superior_bronchopulmonary_segment', 'VH_F_hilum_lower_R', 'VH_F_right_medial_bronchopulmonary_segment', 'VH_F_right_lateral_bronchopulmonary_segmennt', 'VH_F_hilum_middle_R', 'VH_F_right_anterior_bronchopulmonary_segm', 'VH_F_right_apical_bronchopulmonary_segment', 'VH_F_right_posterior_bronchopulmonary_segment', 'VH_F_hilum_upper_R', 'VH_F_cartilage_of_lobar_bronchus_L', 'VH_F_cartilage_of_tertiary_bronchus_L', 'VH_F_left_superior_lobar_bronchus', 'VH_F_left_inferior_lobar_bronchus', 'VH_F_left_anterior_basal_bronchus', 'VH_F_left_lingula_superior_bronchus', 'VH_F_left_apical_bronchus', 'VH_F_left_posterior_basal_bronchus', 'VH_F_left_medial_basal_bronchus', 'VH_F_left_superior_bronchus', 'VH_F_left_anterior_bronchus', 'VH_F_left_posterior_bronchus', 'VH_F_left_lateral_basal_bronchus', 'VH_F_left_lingula_inferior_bronchi', 'VH_F_cartilage_of_lobar_bronchus_R', 'VH_F_cartilage_of_tertiary_bronchus_R', 'VH_F_right_middle_lobar_bronchus', 'VH_F_right_superior_lobar_bronchus', 'VH_F_right_inferior_lobar_bronchus', 'VH_F_right_anterior_bronchus', 'VH_F_right_lateral_basal_bronchus', 'VH_F_right_lateral_bronchus', 'VH_F_right_medial_bronchus', 'VH_F_right_medial_basal_bronchus', 'VH_F_right_posterior_basal_bronchus', 'VH_F_right_posterior_bronchus', 'VH_F_right_superior_bronchus', 'VH_F_right_apical_bronchus', 'VH_F_right_anterior_basal_bronchus']","['VH_F_hilum_L', 'VH_F_hilum_R', 'VH_F_cartilage_of_lobar_bronchus_L', 'VH_F_cartilage_of_tertiary_bronchus_L', 'VH_F_cartilage_of_lobar_bronchus_R', 'VH_F_cartilage_of_tertiary_bronchus_R']"
15,3d-vh-f-lung-80.fbx,234878,"['VH_F_hilum_L', 'VH_F_hilum_upper_L', 'VH_F_lingula_superior_bronchopulmonary_segment', 'VH_F_left_anterior_bronchopulmonary_segment', 'VH_F_left_apical_bronchopulmonary_segment', 'VH_F_left_posterior_bronchopulmonary_segment', 'VH_F_lingula_inferior_bronchopulmonary_segment', 'VH_F_left_superior_bronchopulmonary_segment', 'VH_F_left_posterior_basal_bronchopulmonary_segment', 'VH_F_left_anterior_basal_bronchopulmonary_segment', 'VH_F_left_lateral_basal_bronchopulmonary_segment', 'VH_F_left_medial_basal_bronchopulmonary_segment', 'VH_F_hilum_lower_L', 'VH_F_hilum_R', 'VH_F_right_medial_basal_bronchopulmonary_segment', 'VH_F_right_posterior_basal_bronchopulmonary_segment', 'VH_F_right_anterior_basal_bronchopulmonary_segment', 'VH_F_right_lateral_basal_bronchopulmonary_segment', 'VH_F_right_superior_bronchopulmonary_segment', 'VH_F_hilum_lower_R', 'VH_F_right_medial_bronchopulmonary_segment', 'VH_F_right_lateral_bronchopulmonary_segmennt', 'VH_F_hilum_middle_R', 'VH_F_right_anterior_bronchopulmonary_segm', 'VH_F_right_apical_bronchopulmonary_segment', 'VH_F_right_posterior_bronchopulmonary_segment', 'VH_F_hilum_upper_R', 'VH_F_cartilage_of_lobar_bronchus_L', 'VH_F_cartilage_of_tertiary_bronchus_L', 'VH_F_left_superior_lobar_bronchus', 'VH_F_left_inferior_lobar_bronchus', 'VH_F_left_anterior_basal_bronchus', 'VH_F_left_lingula_superior_bronchus', 'VH_F_left_apical_bronchus', 'VH_F_left_posterior_basal_bronchus', 'VH_F_left_medial_basal_bronchus', 'VH_F_left_superior_bronchus', 'VH_F_left_anterior_bronchus', 'VH_F_left_posterior_bronchus', 'VH_F_left_lateral_basal_bronchus', 'VH_F_left_lingula_inferior_bronchi', 'VH_F_cartilage_of_lobar_bronchus_R', 'VH_F_cartilage_of_tertiary_bronchus_R', 'VH_F_right_middle_lobar_bronchus', 'VH_F_right_superior_lobar_bronchus', 'VH_F_right_inferior_lobar_bronchus', 'VH_F_right_anterior_bronchus', 'VH_F_right_lateral_basal_bronchus', 'VH_F_right_lateral_bronchus', 'VH_F_right_medial_bronchus', 'VH_F_right_medial_basal_bronchus', 'VH_F_right_posterior_basal_bronchus', 'VH_F_right_posterior_bronchus', 'VH_F_right_superior_bronchus', 'VH_F_right_apical_bronchus', 'VH_F_right_anterior_basal_bronchus']","['VH_F_hilum_L', 'VH_F_hilum_R', 'VH_F_cartilage_of_lobar_bronchus_L', 'VH_F_cartilage_of_tertiary_bronchus_L', 'VH_F_left_anterior_basal_bronchus', 'VH_F_cartilage_of_lobar_bronchus_R', 'VH_F_cartilage_of_tertiary_bronchus_R']"
16,3d-vh-f-main-bronchus-100.fbx,33612,"['VH_F_cartilage_of_main_bronchus_R', 'VH_F_right_main_bronchus', 'VH_F_cartilage_of_main_bronchus_L', 'VH_F_left_main_bronchus']","['VH_F_cartilage_of_main_bronchus_R', 'VH_F_cartilage_of_main_bronchus_L']"
17,3d-vh-f-main-bronchus-20.fbx,6699,"['VH_F_cartilage_of_main_bronchus_R', 'VH_F_right_main_bronchus', 'VH_F_cartilage_of_main_bronchus_L', 'VH_F_left_main_bronchus']","['VH_F_cartilage_of_main_bronchus_R', 'VH_F_cartilage_of_main_bronchus_L']"
18,3d-vh-f-main-bronchus-40.fbx,13415,"['VH_F_cartilage_of_main_bronchus_R', 'VH_F_right_main_bronchus', 'VH_F_cartilage_of_main_bronchus_L', 'VH_F_left_main_bronchus']","['VH_F_cartilage_of_main_bronchus_R', 'VH_F_cartilage_of_main_bronchus_L']"
19,3d-vh-f-main-bronchus-80.fbx,26864,"['VH_F_cartilage_of_main_bronchus_R', 'VH_F_right_main_bronchus', 'VH_F_cartilage_of_main_bronchus_L', 'VH_F_left_main_bronchus']","['VH_F_cartilage_of_main_bronchus_R', 'VH_F_cartilage_of_main_bronchus_L']"
20,3d-vh-f-mammary-gland-l-100.fbx,267195,"['VH_F_fat_L', 'VH_F_areolar_tubercles_L', 'VH_F_nipple_L', 'VH_F_areola_L', 'VH_F_mammary_lobes_L', 'VH_F_main_lactiferous_ducts_L', 'VH_F_main_lactiferous_sinuses_L']","['VH_F_fat_L', 'VH_F_mammary_lobes_L', 'VH_F_main_lactiferous_ducts_L', 'VH_F_main_lactiferous_sinuses_L']"
21,3d-vh-f-mammary-gland-l-20.fbx,53404,"['VH_F_fat_L', 'VH_F_areolar_tubercles_L', 'VH_F_nipple_L', 'VH_F_areola_L', 'VH_F_mammary_lobes_L', 'VH_F_main_lactiferous_ducts_L', 'VH_F_main_lactiferous_sinuses_L']","['VH_F_fat_L', 'VH_F_mammary_lobes_L', 'VH_F_main_lactiferous_ducts_L', 'VH_F_main_lactiferous_sinuses_L']"
22,3d-vh-f-mammary-gland-l-40.fbx,106854,"['VH_F_fat_L', 'VH_F_areolar_tubercles_L', 'VH_F_nipple_L', 'VH_F_areola_L', 'VH_F_mammary_lobes_L', 'VH_F_main_lactiferous_ducts_L', 'VH_F_main_lactiferous_sinuses_L']","['VH_F_fat_L', 'VH_F_mammary_lobes_L', 'VH_F_main_lactiferous_ducts_L', 'VH_F_main_lactiferous_sinuses_L']"
23,3d-vh-f-mammary-gland-l-80.fbx,213745,"['VH_F_fat_L', 'VH_F_areolar_tubercles_L', 'VH_F_nipple_L', 'VH_F_areola_L', 'VH_F_mammary_lobes_L', 'VH_F_main_lactiferous_ducts_L', 'VH_F_main_lactiferous_sinuses_L']","['VH_F_fat_L', 'VH_F_mammary_lobes_L', 'VH_F_main_lactiferous_ducts_L', 'VH_F_main_lactiferous_sinuses_L']"
24,3d-vh-f-mammary-gland-r-100.fbx,543730,"['VH_F_fat_R', 'VH_F_areolar_tubercles_R', 'VH_F_nipple_R', 'VH_F_areola_R', 'VH_F_main_lactiferous_sinuses_R', 'VH_F_main_lactiferous_ducts_R', 'VH_F_mammary_lobes_R', 'VH_F_suspensory_ligaments_R']","['VH_F_fat_R', 'VH_F_main_lactiferous_sinuses_R', 'VH_F_main_lactiferous_ducts_R', 'VH_F_mammary_lobes_R']"
25,3d-vh-f-mammary-gland-r-20.fbx,108577,"['VH_F_fat_R', 'VH_F_areolar_tubercles_R', 'VH_F_nipple_R', 'VH_F_areola_R', 'VH_F_main_lactiferous_sinuses_R', 'VH_F_main_lactiferous_ducts_R', 'VH_F_mammary_lobes_R', 'VH_F_suspensory_ligaments_R']","['VH_F_fat_R', 'VH_F_main_lactiferous_sinuses_R', 'VH_F_main_lactiferous_ducts_R', 'VH_F_mammary_lobes_R']"
26,3d-vh-f-mammary-gland-r-40.fbx,217218,"['VH_F_fat_R', 'VH_F_areolar_tubercles_R', 'VH_F_nipple_R', 'VH_F_areola_R', 'VH_F_main_lactiferous_sinuses_R', 'VH_F_main_lactiferous_ducts_R', 'VH_F_mammary_lobes_R', 'VH_F_suspensory_ligaments_R']","['VH_F_fat_R', 'VH_F_main_lactiferous_sinuses_R', 'VH_F_main_lactiferous_ducts_R', 'VH_F_mammary_lobes_R', 'VH_F_suspensory_ligaments_R']"
27,3d-vh-f-mammary-gland-r-80.fbx,434854,"['VH_F_fat_R', 'VH_F_areolar_tubercles_R', 'VH_F_nipple_R', 'VH_F_areola_R', 'VH_F_main_lactiferous_sinuses_R', 'VH_F_main_lactiferous_ducts_R', 'VH_F_mammary_lobes_R', 'VH_F_suspensory_ligaments_R']","['VH_F_fat_R', 'VH_F_main_lactiferous_sinuses_R', 'VH_F_main_lactiferous_ducts_R', 'VH_F_mammary_lobes_R']"
28,3d-vh-f-palatine-tonsil-l-100.fbx,16992,['VH_F_palatine_tonsil_L'],['VH_F_palatine_tonsil_L']
29,3d-vh-f-palatine-tonsil-l-20.fbx,3394,['VH_F_palatine_tonsil_L'],['VH_F_palatine_tonsil_L']
30,3d-vh-f-palatine-tonsil-l-40.fbx,6788,['VH_F_palatine_tonsil_L'],['VH_F_palatine_tonsil_L']
31,3d-vh-f-palatine-tonsil-l-80.fbx,13586,['VH_F_palatine_tonsil_L'],['VH_F_palatine_tonsil_L']
32,3d-vh-f-palatine-tonsil-r-100.fbx,12194,[],[]
33,3d-vh-f-palatine-tonsil-r-20.fbx,2438,[],[]
34,3d-vh-f-palatine-tonsil-r-40.fbx,4876,[],[]
35,3d-vh-f-palatine-tonsil-r-80.fbx,9754,[],[]
36,3d-vh-f-skin-100.fbx,382640,[],['VH_F_skin']
37,3d-vh-f-skin-20.fbx,76528,[],['VH_F_skin']
38,3d-vh-f-skin-40.fbx,153056,[],['VH_F_skin']
39,3d-vh-f-skin-80.fbx,306112,[],['VH_F_skin']
40,3d-vh-f-trachea-100.fbx,27619,"['VH_F_tracheal_cartilage', 'VH_F_trachea']",[]
41,3d-vh-f-trachea-20.fbx,5517,"['VH_F_tracheal_cartilage', 'VH_F_trachea']",['VH_F_trachea']
42,3d-vh-f-trachea-40.fbx,11040,"['VH_F_tracheal_cartilage', 'VH_F_trachea']",['VH_F_trachea']
43,3d-vh-f-trachea-80.fbx,22089,"['VH_F_tracheal_cartilage', 'VH_F_trachea']",[]
44,3d-vh-m-eye-l-100.fbx,184208,"['VH_M_optic_disc_L', 'VH_M_palpebral_conjunctiva_of_upper_eyelid_L', 'VH_M_palpebral_conjunctiva_of_lower_eyelid_L', 'VH_M_bulbar_conjunctiva_L', 'VH_M_iris_L', 'VH_M_trabecular_meshwork_L', 'VH_M_ciliary_muscle_L', 'VH_M_aqueous_humor_L', 'VH_M_schlemms_canal_L', 'VH_M_ora_serrata_of_retina_L', 'VH_M_suspensory_ligament_of_lens_L', 'VH_M_ciliary_processes_L', 'VH_M_optic_choroid_L']","['VH_M_palpebral_conjunctiva_of_upper_eyelid_L', 'VH_M_bulbar_conjunctiva_L', 'VH_M_iris_L', 'VH_M_trabecular_meshwork_L', 'VH_M_ciliary_muscle_L', 'VH_M_aqueous_humor_L', 'VH_M_schlemms_canal_L', 'VH_M_suspensory_ligament_of_lens_L', 'VH_M_ciliary_processes_L', 'VH_M_optic_choroid_L', 'VH_M_sclera_L']"
45,3d-vh-m-eye-l-20.fbx,46596,"['VH_M_optic_disc_L', 'VH_M_palpebral_conjunctiva_of_upper_eyelid_L', 'VH_M_palpebral_conjunctiva_of_lower_eyelid_L', 'VH_M_bulbar_conjunctiva_L', 'VH_M_iris_L', 'VH_M_trabecular_meshwork_L', 'VH_M_ciliary_muscle_L', 'VH_M_aqueous_humor_L', 'VH_M_schlemms_canal_L', 'VH_M_ora_serrata_of_retina_L', 'VH_M_suspensory_ligament_of_lens_L', 'VH_M_ciliary_processes_L', 'VH_M_optic_choroid_L']","['VH_M_palpebral_conjunctiva_of_upper_eyelid_L', 'VH_M_palpebral_conjunctiva_of_lower_eyelid_L', 'VH_M_bulbar_conjunctiva_L', 'VH_M_iris_L', 'VH_M_trabecular_meshwork_L', 'VH_M_ciliary_muscle_L', 'VH_M_aqueous_humor_L', 'VH_M_schlemms_canal_L', 'VH_M_ora_serrata_of_retina_L', 'VH_M_suspensory_ligament_of_lens_L', 'VH_M_ciliary_processes_L', 'VH_M_optic_choroid_L']"
46,3d-vh-m-eye-l-40.fbx,75935,"['VH_M_optic_disc_L', 'VH_M_palpebral_conjunctiva_of_upper_eyelid_L', 'VH_M_palpebral_conjunctiva_of_lower_eyelid_L', 'VH_M_bulbar_conjunctiva_L', 'VH_M_iris_L', 'VH_M_trabecular_meshwork_L', 'VH_M_ciliary_muscle_L', 'VH_M_aqueous_humor_L', 'VH_M_schlemms_canal_L', 'VH_M_ora_serrata_of_retina_L', 'VH_M_suspensory_ligament_of_lens_L', 'VH_M_ciliary_processes_L', 'VH_M_optic_choroid_L']","['VH_M_palpebral_conjunctiva_of_upper_eyelid_L', 'VH_M_palpebral_conjunctiva_of_lower_eyelid_L', 'VH_M_bulbar_conjunctiva_L', 'VH_M_iris_L', 'VH_M_trabecular_meshwork_L', 'VH_M_ciliary_muscle_L', 'VH_M_aqueous_humor_L', 'VH_M_schlemms_canal_L', 'VH_M_ora_serrata_of_retina_L', 'VH_M_suspensory_ligament_of_lens_L', 'VH_M_ciliary_processes_L']"
47,3d-vh-m-eye-l-80.fbx,146172,"['VH_M_optic_disc_L', 'VH_M_palpebral_conjunctiva_of_upper_eyelid_L', 'VH_M_palpebral_conjunctiva_of_lower_eyelid_L', 'VH_M_bulbar_conjunctiva_L', 'VH_M_iris_L', 'VH_M_trabecular_meshwork_L', 'VH_M_ciliary_muscle_L', 'VH_M_aqueous_humor_L', 'VH_M_schlemms_canal_L', 'VH_M_ora_serrata_of_retina_L', 'VH_M_suspensory_ligament_of_lens_L', 'VH_M_ciliary_processes_L', 'VH_M_optic_choroid_L']","['VH_M_palpebral_conjunctiva_of_upper_eyelid_L', 'VH_M_bulbar_conjunctiva_L', 'VH_M_iris_L', 'VH_M_trabecular_meshwork_L', 'VH_M_ciliary_muscle_L', 'VH_M_aqueous_humor_L', 'VH_M_schlemms_canal_L', 'VH_M_suspensory_ligament_of_lens_L', 'VH_M_ciliary_processes_L', 'VH_M_sclera_L']"
48,3d-vh-m-eye-r-100.fbx,183879,"['VH_M_optic_disc_R', 'VH_M_palpebral_conjunctiva_of_upper_eyelid_R', 'VH_M_palpebral_conjunctiva_of_lower_eyelid_R', 'VH_M_optic_choroid_R', 'VH_M_ciliary_processes_R', 'VH_M_suspensory_ligament_of_lens_R', 'VH_M_ora_serrata_of_retina_R', 'VH_M_schlemms_canal_R', 'VH_M_aqueous_humor_R', 'VH_M_ciliary_muscle_R', 'VH_M_trabecular_meshwork_R', 'VH_M_iris_R', 'VH_M_bulbar_conjunctiva_R']","['VH_M_sclera_R', 'VH_M_optic_choroid_R', 'VH_M_ciliary_processes_R', 'VH_M_suspensory_ligament_of_lens_R', 'VH_M_ora_serrata_of_retina_R', 'VH_M_schlemms_canal_R', 'VH_M_aqueous_humor_R', 'VH_M_trabecular_meshwork_R', 'VH_M_iris_R', 'VH_M_bulbar_conjunctiva_R']"
49,3d-vh-m-eye-r-20.fbx,46178,"['VH_M_optic_disc_R', 'VH_M_palpebral_conjunctiva_of_upper_eyelid_R', 'VH_M_palpebral_conjunctiva_of_lower_eyelid_R', 'VH_M_optic_choroid_R', 'VH_M_ciliary_processes_R', 'VH_M_suspensory_ligament_of_lens_R', 'VH_M_ora_serrata_of_retina_R', 'VH_M_schlemms_canal_R', 'VH_M_aqueous_humor_R', 'VH_M_ciliary_muscle_R', 'VH_M_trabecular_meshwork_R', 'VH_M_iris_R', 'VH_M_bulbar_conjunctiva_R']","['VH_M_palpebral_conjunctiva_of_upper_eyelid_R', 'VH_M_palpebral_conjunctiva_of_lower_eyelid_R', 'VH_M_ciliary_processes_R', 'VH_M_suspensory_ligament_of_lens_R', 'VH_M_ora_serrata_of_retina_R', 'VH_M_schlemms_canal_R', 'VH_M_aqueous_humor_R', 'VH_M_ciliary_muscle_R', 'VH_M_trabecular_meshwork_R', 'VH_M_iris_R', 'VH_M_bulbar_conjunctiva_R']"
50,3d-vh-m-eye-r-40.fbx,75791,"['VH_M_optic_disc_R', 'VH_M_palpebral_conjunctiva_of_upper_eyelid_R', 'VH_M_palpebral_conjunctiva_of_lower_eyelid_R', 'VH_M_optic_choroid_R', 'VH_M_ciliary_processes_R', 'VH_M_suspensory_ligament_of_lens_R', 'VH_M_ora_serrata_of_retina_R', 'VH_M_schlemms_canal_R', 'VH_M_aqueous_humor_R', 'VH_M_ciliary_muscle_R', 'VH_M_trabecular_meshwork_R', 'VH_M_iris_R', 'VH_M_bulbar_conjunctiva_R']","['VH_M_palpebral_conjunctiva_of_upper_eyelid_R', 'VH_M_ciliary_processes_R', 'VH_M_suspensory_ligament_of_lens_R', 'VH_M_ora_serrata_of_retina_R', 'VH_M_schlemms_canal_R', 'VH_M_aqueous_humor_R', 'VH_M_ciliary_muscle_R', 'VH_M_trabecular_meshwork_R', 'VH_M_iris_R', 'VH_M_bulbar_conjunctiva_R']"
51,3d-vh-m-eye-r-80.fbx,145864,"['VH_M_optic_disc_R', 'VH_M_palpebral_conjunctiva_of_upper_eyelid_R', 'VH_M_palpebral_conjunctiva_of_lower_eyelid_R', 'VH_M_optic_choroid_R', 'VH_M_ciliary_processes_R', 'VH_M_suspensory_ligament_of_lens_R', 'VH_M_ora_serrata_of_retina_R', 'VH_M_schlemms_canal_R', 'VH_M_aqueous_humor_R', 'VH_M_ciliary_muscle_R', 'VH_M_trabecular_meshwork_R', 'VH_M_iris_R', 'VH_M_bulbar_conjunctiva_R']","['VH_M_sclera_R', 'VH_M_ciliary_processes_R', 'VH_M_suspensory_ligament_of_lens_R', 'VH_M_ora_serrata_of_retina_R', 'VH_M_schlemms_canal_R', 'VH_M_aqueous_humor_R', 'VH_M_trabecular_meshwork_R', 'VH_M_iris_R', 'VH_M_bulbar_conjunctiva_R']"
52,3d-vh-m-larynx-100.fbx,13232,[],[]
53,3d-vh-m-larynx-20.fbx,2642,[],[]
54,3d-vh-m-larynx-40.fbx,5288,[],[]
55,3d-vh-m-larynx-80.fbx,10582,[],[]
